Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
254,Luke Kennard,SG,26,LAC,35,11,20.7,2.8,6,0.464,1.7,3.8,0.447,1.1,2.3,0.494,0.604,0.5,0.6,0.95,0.2,2.2,2.4,1.1,0.5,0.1,0.9,1.3,7.8,kennalu01
254,Luke Kennard,SG,26,MEM,5,0,22,1.8,5.2,0.346,1.8,4.2,0.429,0,1,0,0.519,0.8,0.8,1,0.2,1.4,1.6,1.4,0.2,0,0.4,1.6,6.2,kennalu01
255,Walker Kessler,C,21,UTA,60,26,21.8,3.6,5,0.709,0,0,1,3.6,5,0.708,0.71,1.1,2,0.533,3,5.1,8,0.8,0.4,2.2,0.8,2.3,8.2,kesslwa01
256,Braxton Key,SF,25,DET,3,0,3,0.3,0.3,1,0,0,,0.3,0.3,1,1,0.7,0.7,1,0,0.3,0.3,0,0,0,0,0,1.3,keybr01
257,Corey Kispert,SF,23,WAS,53,32,26.9,3.2,6.8,0.475,1.8,4.5,0.412,1.4,2.3,0.597,0.61,1,1.1,0.864,0.4,2.3,2.7,1.2,0.6,0.1,0.7,1.3,9.3,kispeco01
258,Maxi Kleber,C,31,DAL,23,0,25.6,2.4,4.8,0.5,1.1,2.9,0.373,1.3,1.9,0.698,0.614,0.5,0.7,0.688,0.8,2.6,3.4,1,0.3,1,0.6,2.2,6.3,klebima01
259,Nathan Knight,PF,25,MIN,34,0,8.1,1.3,2.2,0.573,0.2,0.6,0.381,1,1.6,0.648,0.627,1.1,1.6,0.679,0.6,0.9,1.5,0.4,0.3,0.2,0.6,1.1,3.8,knighna01
260,Kevin Knox,PF-SF,23,TOT,47,1,13.1,1.8,3.9,0.462,0.9,2.6,0.358,0.9,1.4,0.656,0.579,0.6,0.7,0.8,0.5,1.9,2.4,0.3,0.3,0.3,0.7,1.7,5.1,knoxke01
260,Kevin Knox,PF,23,DET,42,1,14.1,2,4.3,0.469,1,2.8,0.371,1,1.5,0.651,0.589,0.6,0.8,0.788,0.5,2.1,2.6,0.4,0.3,0.3,0.8,1.8,5.6,knoxke01
260,Kevin Knox,SF,23,POR,5,0,4.8,0.2,1,0.2,0,0.8,0,0.2,0.2,1,0.2,0.4,0.4,1,0.4,0.4,0.8,0,0,0,0,1,0.8,knoxke01
261,Christian Koloko,C,22,TOR,46,19,14.4,1.3,2.7,0.484,0,0.2,0.111,1.3,2.5,0.513,0.488,0.8,1.2,0.66,1.5,1.7,3.2,0.5,0.3,1,0.4,2.4,3.4,kolokch01
262,John Konchar,SG,26,MEM,53,22,21.8,2.1,4.9,0.433,1,2.8,0.363,1.1,2.2,0.522,0.534,0.4,0.5,0.852,0.8,3.7,4.5,1.4,1,0.2,0.5,1.5,5.7,konchjo01
263,Furkan Korkmaz,SG,25,PHI,25,0,10.2,1.3,3.1,0.41,0.5,1.4,0.343,0.8,1.7,0.465,0.487,0.8,1.2,0.655,0.2,0.9,1.2,0.7,0.2,0.1,0.6,0.4,3.8,korkmfu01
264,Luke Kornet,C,27,BOS,53,0,11.6,1.6,2.3,0.697,0.1,0.2,0.333,1.5,2.1,0.726,0.709,0.5,0.6,0.853,1.2,1.6,2.8,0.7,0.2,0.8,0.4,1.3,3.8,kornelu01
265,Vit Krejci,PG,22,ATL,22,0,5.5,0.5,1.3,0.379,0.2,0.8,0.278,0.3,0.5,0.545,0.466,0,0.1,0.5,0.1,0.5,0.6,0.5,0.1,0,0.2,0.5,1.3,krejcvi01
266,Jonathan Kuminga,PF,20,GSW,50,11,19.8,3.4,6.8,0.494,0.7,2.1,0.327,2.7,4.8,0.567,0.544,1.2,1.9,0.653,0.9,2.2,3.1,1.8,0.5,0.4,1.5,2.3,8.7,kuminjo01
267,Kyle Kuzma,PF,27,WAS,56,56,35.1,8.1,18.1,0.445,2.5,7.7,0.33,5.5,10.4,0.53,0.515,2.6,3.7,0.722,0.9,6.5,7.4,3.8,0.5,0.5,2.9,2.4,21.3,kuzmaky01
268,Anthony Lamb,SF,25,GSW,47,3,19.9,2.5,5.2,0.49,1.3,3.3,0.385,1.3,1.9,0.678,0.613,0.7,0.9,0.721,0.9,2.6,3.5,1.8,0.5,0.3,1,2.4,7,lamban01
269,Jock Landale,C,27,PHO,54,3,14.2,2.4,4.9,0.502,0.4,1.4,0.244,2.1,3.4,0.611,0.538,1.3,1.7,0.769,1.7,2.4,4.1,0.9,0.3,0.5,0.9,1.8,6.5,landajo01
270,Romeo Langford,SG,23,SAS,32,19,20.2,3.1,6.4,0.49,0.4,1.4,0.283,2.7,4.9,0.551,0.522,0.8,1.2,0.649,1.4,1.4,2.9,1.3,0.5,0.3,0.7,1.7,7.4,langfro01
271,Jake LaRavia,PF,21,MEM,31,0,12.5,1.1,2.8,0.391,0.7,2,0.333,0.4,0.8,0.542,0.511,0.2,0.3,0.778,0.5,1.4,1.9,0.7,0.4,0.1,0.6,1.5,3.1,laravja01
272,Zach LaVine,SG,27,CHI,59,59,35.9,8.5,17.8,0.477,2.8,7.3,0.378,5.7,10.5,0.545,0.554,4.6,5.5,0.845,0.5,4.2,4.7,3.9,0.9,0.2,2.6,2.2,24.3,lavinza01
273,A.J. Lawson,SG,22,TOT,13,0,4.8,1,2,0.5,0.5,1.2,0.438,0.5,0.8,0.6,0.635,0.1,0.2,0.333,0.2,0.6,0.8,0.1,0.1,0,0.1,0.6,2.6,lawsoaj01
273,A.J. Lawson,SG,22,MIN,1,0,2,1,1,1,0,0,,1,1,1,1,0,0,,0,1,1,0,0,0,0,1,2,lawsoaj01
273,A.J. Lawson,SG,22,DAL,12,0,5.1,1,2.1,0.48,0.6,1.3,0.438,0.4,0.8,0.556,0.62,0.1,0.3,0.333,0.2,0.6,0.8,0.1,0.1,0,0.1,0.6,2.7,lawsoaj01
274,Damion Lee,SG,30,PHO,63,5,21.7,2.8,6.4,0.438,1.6,3.6,0.438,1.2,2.8,0.438,0.561,1.4,1.6,0.909,0.5,2.7,3.2,1.5,0.4,0.1,1.1,1.7,8.6,leeda03
275,Saben Lee,PG,23,TOT,20,0,14.7,1.9,4.2,0.44,0.4,1,0.368,1.5,3.3,0.462,0.482,1.7,2.3,0.756,0.5,1.3,1.8,2.7,0.8,0.1,1.2,1.4,5.8,leesa01
275,Saben Lee,PG,23,PHI,2,0,5,1.5,2,0.75,0,0.5,0,1.5,1.5,1,0.75,0,0,,0,0,0,1,0.5,0,1.5,0.5,3,leesa01
275,Saben Lee,PG,23,PHO,18,0,15.8,1.9,4.4,0.425,0.4,1,0.389,1.5,3.4,0.435,0.469,1.9,2.5,0.756,0.6,1.4,2,2.9,0.8,0.1,1.1,1.4,6.1,leesa01
276,Alex Len,C,29,SAC,14,1,3.4,0.4,0.7,0.5,0,0.1,0,0.4,0.6,0.556,0.5,0.2,0.3,0.75,0.3,0.8,1.1,0.4,0,0,0.4,0.7,0.9,lenal01
277,Kawhi Leonard,SF,31,LAC,37,35,33.1,8.4,16.5,0.506,1.9,4.6,0.408,6.5,11.9,0.543,0.562,4.5,5.1,0.873,1.2,4.9,6.1,4,1.4,0.6,1.6,1.6,23,leonaka01
278,Meyers Leonard,C,30,MIL,4,0,6.8,0.8,2,0.375,0.8,1.8,0.429,0,0.3,0,0.563,0.5,0.5,1,0.5,1.5,2,0,0.3,0,0.3,1,2.8,leoname01
279,Caris LeVert,SG,28,CLE,59,26,30,4.2,10.1,0.411,1.5,4.2,0.355,2.7,6,0.45,0.484,1.7,2.4,0.72,0.7,3.2,3.9,4,0.8,0.2,1.6,2.2,11.6,leverca01
280,Kira Lewis Jr.,PG,21,NOP,16,0,10.6,1.9,4,0.484,0.7,1.4,0.478,1.3,2.6,0.488,0.57,0.9,0.9,0.933,0.3,1.6,1.9,0.9,0.4,0.1,0.5,1.1,5.4,lewiski01
281,Damian Lillard,PG,32,POR,49,49,36.3,9.8,20.7,0.472,4.2,11.2,0.377,5.5,9.4,0.586,0.575,8.5,9.3,0.921,0.7,3.7,4.4,7.1,0.9,0.3,3.2,1.9,32.3,lillada01
282,Nassir Little,SF,22,POR,41,2,17.2,2.4,5.1,0.466,1.1,2.8,0.409,1.2,2.3,0.538,0.579,0.6,0.9,0.657,0.5,2.1,2.6,1,0.4,0.4,0.5,1.1,6.4,littlna01
283,Isaiah Livers,PF,24,DET,40,10,21,1.9,4.6,0.407,1.3,3.5,0.369,0.6,1,0.537,0.549,0.6,0.7,0.786,0.5,1.8,2.3,0.6,0.5,0.6,0.6,1.9,5.6,liveris01
284,Kenneth Lofton Jr.,PF,20,MEM,10,0,3.6,0.8,2,0.4,0,0.4,0,0.8,1.6,0.5,0.4,0.3,0.5,0.6,0.1,0.4,0.5,0.5,0.1,0,0.2,0.5,1.9,loftoke01
285,Kevon Looney,C,26,GSW,62,55,23.5,3,4.4,0.665,0,0,,3,4.4,0.665,0.665,1.1,1.8,0.607,3.1,5.9,9.1,2.5,0.5,0.6,0.5,2.8,7,looneke01
286,Brook Lopez,C,34,MIL,61,61,30.3,5.6,11,0.51,1.8,4.9,0.377,3.8,6.1,0.616,0.594,1.6,2.1,0.763,2,4.6,6.6,1.2,0.5,2.4,1.4,2.5,14.7,lopezbr01
287,Robin Lopez,C,34,CLE,32,1,7.7,1.2,1.8,0.655,0.1,0.1,0.667,1.1,1.7,0.655,0.672,0.4,0.5,0.75,0.6,0.7,1.3,0.4,0,0.1,0.7,1,2.8,lopezro01
288,Kevin Love,PF,34,TOT,45,7,20.3,2.7,7,0.387,1.6,4.8,0.343,1,2.2,0.485,0.505,1.4,1.5,0.884,1,5.9,6.9,1.9,0.2,0.2,1.1,1.6,8.4,loveke01
288,Kevin Love,PF,34,CLE,41,3,20,2.7,7,0.389,1.7,4.8,0.354,1,2.2,0.467,0.511,1.4,1.5,0.889,1,5.8,6.8,1.9,0.2,0.2,1.1,1.6,8.5,loveke01
288,Kevin Love,PF,34,MIA,4,4,23.3,2.5,7,0.357,1.3,5.3,0.238,1.3,1.8,0.714,0.446,1.3,1.5,0.833,0.8,7,7.8,2.3,0.5,0.5,0.5,2.3,7.5,loveke01
289,Kyle Lowry,PG,36,MIA,44,44,33.3,3.8,9.7,0.396,2,6.1,0.333,1.8,3.6,0.503,0.501,2.3,2.7,0.855,0.9,3.5,4.3,5.3,1.1,0.4,2,2.8,12,lowryky01
290,Trey Lyles,PF,27,SAC,55,0,16.2,2.5,5.3,0.474,1.1,3,0.365,1.4,2.3,0.619,0.578,1.3,1.6,0.798,0.9,2.7,3.7,0.9,0.4,0.5,0.8,1.2,7.5,lylestr01
291,Théo Maledon,PG,21,CHO,36,1,16.1,1.8,4.4,0.414,0.6,1.8,0.333,1.2,2.6,0.468,0.481,1.4,1.6,0.875,0.3,2.1,2.4,2.4,0.8,0.2,1,1,5.6,maledth01
292,Sandro Mamukelashvili,C,23,MIL,24,0,9,0.8,2.4,0.328,0.3,1.3,0.219,0.5,1.1,0.462,0.388,0.5,0.8,0.667,0.8,1.6,2.3,0.7,0.2,0.2,0.4,0.8,2.4,mamuksa01
293,Terance Mann,SG,26,LAC,63,35,23.4,3.5,6.7,0.526,1,2.4,0.39,2.6,4.3,0.604,0.597,1.1,1.4,0.775,0.9,2.7,3.7,2.2,0.5,0.3,1,1.9,9.1,mannte01
294,Tre Mann,PG,21,OKC,56,4,18.1,3,7.8,0.387,1.3,4.1,0.307,1.8,3.7,0.476,0.468,0.6,0.8,0.733,0.4,1.9,2.3,1.7,0.6,0.2,0.9,1.5,7.8,manntr01
295,Boban Marjanović,C,34,HOU,22,0,4.5,1.3,1.9,0.683,0,0,0,1.3,1.8,0.7,0.683,0.8,1,0.783,0.5,1,1.5,0.2,0,0,0.3,0.2,3.4,marjabo01
296,Lauri Markkanen,SF,25,UTA,57,57,34.4,8.5,16.7,0.512,3.1,7.5,0.409,5.5,9.2,0.594,0.603,5.1,5.8,0.88,1.9,6.7,8.6,1.8,0.6,0.6,1.9,2.1,25.3,markkla01
297,Naji Marshall,SF,25,NOP,58,19,24.6,3.3,7.8,0.429,0.9,3.1,0.309,2.4,4.7,0.507,0.49,1.9,2.4,0.777,0.7,3,3.7,2.5,0.8,0.2,1.2,1.5,9.5,marshna01
298,Caleb Martin,PF,27,MIA,53,49,30,3.7,8.2,0.451,1.3,3.6,0.363,2.4,4.6,0.52,0.531,1.2,1.6,0.774,1.3,3.7,5.1,1.6,1,0.5,1.1,2.1,10,martica02
299,Cody Martin,SF,27,CHO,7,0,19.1,2,5.1,0.389,0.4,2,0.214,1.6,3.1,0.5,0.431,0.6,1,0.571,1.1,2.3,3.4,1.6,0.6,0.1,0.3,1.9,5,martico01
300,Kenyon Martin Jr.,SF,22,HOU,62,29,26.7,4.7,8.4,0.561,0.9,2.7,0.317,3.9,5.7,0.676,0.612,1.7,2.5,0.658,1.5,4.1,5.6,1.5,0.5,0.4,1.1,1.8,12,martike04
301,Tyrese Martin,SG,23,ATL,13,0,3.5,0.5,1.2,0.375,0.1,0.4,0.2,0.4,0.8,0.455,0.406,0.2,0.2,1,0.2,0.3,0.5,0,0.1,0,0.1,0.2,1.2,martity01
302,Garrison Mathews,SG,26,TOT,47,0,12.9,1.3,3.6,0.357,1.1,3.3,0.346,0.1,0.3,0.467,0.515,0.9,1,0.911,0.2,1.1,1.3,0.5,0.5,0.1,0.4,1.2,4.6,mathega01
302,Garrison Mathews,SG,26,HOU,45,0,13.4,1.3,3.8,0.353,1.2,3.4,0.342,0.2,0.3,0.467,0.509,0.9,1,0.911,0.2,1.2,1.4,0.5,0.5,0.1,0.4,1.2,4.8,mathega01
302,Garrison Mathews,SG,26,ATL,2,0,3,0.5,0.5,1,0.5,0.5,1,0,0,,1.5,0,0,,0,0.5,0.5,0,0,0,0,0,1.5,mathega01
303,Bennedict Mathurin,SF,20,IND,63,6,28.2,5.4,12.7,0.428,1.4,4.3,0.322,4,8.4,0.482,0.482,4.9,5.9,0.83,1.1,3,4.1,1.4,0.6,0.1,1.8,2.1,17.1,mathube01
304,Wesley Matthews,SG,36,MIL,39,0,15.6,1,3,0.331,0.8,2.4,0.326,0.2,0.6,0.348,0.462,0.4,0.5,0.85,0.8,1.5,2.2,0.5,0.4,0.3,0.4,1.4,3.2,matthwe02
305,Tyrese Maxey,SG,22,PHI,42,23,32.7,7.1,15.6,0.456,2.3,5.9,0.391,4.8,9.7,0.495,0.53,3.1,3.9,0.815,0.4,2.4,2.8,3.6,0.8,0.1,1.4,2.2,19.6,maxeyty01
306,Miles McBride,PG,22,NYK,50,2,12,1.1,3.3,0.335,0.6,2.1,0.286,0.5,1.2,0.424,0.427,0.4,0.6,0.688,0.2,0.6,0.8,1.1,0.5,0,0.4,0.9,3.2,mcbrimi01
307,CJ McCollum,SG,31,NOP,56,56,35,7.9,18.1,0.435,2.8,7.3,0.377,5.1,10.8,0.474,0.511,2.5,3.1,0.793,0.8,3.5,4.3,5.9,0.9,0.6,2.6,1.9,21,mccolcj01
308,T.J. McConnell,PG,30,IND,60,6,19.5,3.3,6.3,0.524,0.3,0.7,0.419,3,5.6,0.537,0.547,0.7,0.8,0.854,0.6,2.4,2.9,5,1,0.1,1.8,1.3,7.6,mccontj01
309,Jaden McDaniels,PF,22,MIN,61,61,30.6,4.5,8.7,0.52,1.3,3.3,0.385,3.3,5.4,0.601,0.592,1.2,1.7,0.738,1.2,2.7,3.9,2,1,1,1.4,3.5,11.6,mcdanja02
310,Jalen McDaniels,SF,25,TOT,63,21,25.4,3.7,8.2,0.445,1.1,3.3,0.324,2.6,5,0.526,0.51,1.5,1.8,0.835,0.8,3.8,4.7,1.9,1.1,0.5,1.3,2.7,9.9,mcdanja01
310,Jalen McDaniels,SF,25,CHO,56,21,26.7,3.9,8.8,0.447,1.2,3.6,0.322,2.8,5.2,0.534,0.513,1.6,1.9,0.846,0.8,4,4.8,2,1.2,0.5,1.4,2.8,10.6,mcdanja01
310,Jalen McDaniels,SF,25,PHI,7,0,15.6,1.4,3.6,0.4,0.3,0.7,0.4,1.1,2.9,0.4,0.44,1.1,1.6,0.727,1.1,2.1,3.3,1.1,0.6,0,0.3,1.9,4.3,mcdanja01
311,Doug McDermott,SF,31,SAS,54,0,20.6,3.7,8,0.461,1.9,4.5,0.414,1.8,3.5,0.521,0.578,0.7,0.9,0.745,0.3,1.9,2.2,1.4,0.2,0.1,0.9,1.8,9.9,mcderdo01
312,JaVale McGee,C,35,DAL,36,7,8.1,1.8,2.9,0.604,0,0.1,0.25,1.8,2.8,0.618,0.608,0.5,0.9,0.563,0.8,1.8,2.6,0.3,0.1,0.6,0.9,1.2,4.1,mcgeeja01
313,Bryce McGowens,SG,20,CHO,28,1,14.4,1.3,3.5,0.381,0.4,1.2,0.353,0.9,2.3,0.397,0.443,0.8,1.1,0.767,0.3,1.4,1.7,1,0.3,0.1,0.6,0.8,3.9,mcgowbr01
314,Rodney McGruder,SG,31,DET,23,4,11.5,1.1,2.9,0.373,0.7,2,0.362,0.3,0.9,0.4,0.5,0.4,0.6,0.692,0.5,0.9,1.4,0.7,0.3,0,0.3,0.8,3.3,mcgruro01
315,Jordan McLaughlin,PG,26,MIN,27,0,15.3,1.4,3.4,0.429,0.4,1.7,0.234,1,1.6,0.636,0.489,0.3,0.4,0.9,0.5,1.1,1.7,3,0.8,0.1,0.8,0.5,3.6,mclaujo01
316,De'Anthony Melton,PG,24,PHI,58,49,28.2,3.7,8.7,0.423,2.1,5.3,0.398,1.6,3.3,0.464,0.546,0.8,1.1,0.79,0.9,3.1,4.1,2.6,1.7,0.6,1.4,2.5,10.3,meltode01
317,Chimezie Metu,C,25,SAC,48,0,11.1,2.1,3.4,0.606,0.2,0.7,0.25,1.9,2.8,0.692,0.63,0.7,0.9,0.744,0.8,2.4,3.2,0.7,0.4,0.3,0.6,1.4,5,metuch01
318,Khris Middleton,SF,31,MIL,20,7,21.5,4.9,11.6,0.424,1.5,4.9,0.299,3.5,6.7,0.515,0.487,2.4,2.6,0.904,0.7,3.5,4.2,4.2,0.7,0.2,2.2,2.1,13.6,middlkh01
319,Patty Mills,PG,34,BRK,37,1,13.1,2,4.8,0.412,1.1,3.1,0.368,0.8,1.7,0.492,0.531,0.5,0.6,0.905,0.2,0.8,0.9,1.3,0.4,0.1,0.6,0.7,5.6,millspa02
320,Shake Milton,SG,26,PHI,57,9,20.7,3.4,6.8,0.492,0.8,2,0.384,2.6,4.9,0.536,0.547,1.4,1.6,0.846,0.5,2.1,2.6,2.8,0.3,0.2,1.3,1.6,8.8,miltosh01
321,Josh Minott,SF,20,MIN,11,0,6.2,1.3,2.5,0.519,0.1,0.4,0.25,1.2,2.1,0.565,0.537,0.5,0.5,1,0.5,1.5,2,0.3,0.3,0.5,0,0.6,3.2,minotjo01
322,Davion Mitchell,PG,24,SAC,60,6,18.1,2.3,5,0.452,0.8,2.4,0.331,1.5,2.6,0.564,0.532,0.3,0.4,0.8,0.2,1.1,1.3,2.2,0.5,0.2,0.8,1.5,5.7,mitchda01
323,Donovan Mitchell,SG,26,CLE,54,54,35.5,9.6,20,0.481,3.7,9.5,0.387,6,10.6,0.564,0.572,4.6,5.2,0.876,0.9,3.1,4,4.8,1.5,0.4,2.7,2.4,27.5,mitchdo01
324,Evan Mobley,PF,21,CLE,63,63,34.2,6.5,11.9,0.549,0.3,1.3,0.214,6.3,10.6,0.592,0.561,2.5,3.7,0.69,2.3,6.6,8.9,2.6,0.8,1.3,2,2.9,15.9,mobleev01
325,Isaiah Mobley,PF,23,CLE,9,0,2.9,0.4,0.9,0.5,0.1,0.2,0.5,0.3,0.7,0.5,0.563,0,0,,0.1,1.1,1.2,0,0.1,0,0,0.2,1,mobleis01
326,Chima Moneke,SF,27,SAC,2,0,4,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0,1,0,1,0,1,0.5,0,0,1,1,1,monekch01
327,Malik Monk,SG,24,SAC,58,0,22.7,4.9,10.7,0.456,1.8,5.1,0.343,3.1,5.6,0.559,0.538,2.4,2.7,0.903,0.5,2.1,2.6,3.8,0.6,0.2,2,1.6,13.9,monkma01
328,Moses Moody,SG,20,GSW,48,3,13.7,1.6,3.8,0.434,0.8,2.4,0.333,0.9,1.4,0.603,0.538,0.7,0.9,0.727,0.4,1.2,1.6,0.9,0.3,0.1,0.6,0.8,4.8,moodymo01
329,Wendell Moore Jr.,SG,21,MIN,24,2,5.8,0.6,1.5,0.405,0.1,0.7,0.125,0.5,0.9,0.619,0.432,0.2,0.2,0.8,0.1,0.6,0.7,0.7,0.3,0.2,0.3,0.5,1.5,moorewe01
330,Ja Morant,PG,23,MEM,52,52,32.5,9.6,20.7,0.465,1.6,5.1,0.312,8,15.5,0.515,0.503,6.3,8.5,0.742,1.1,4.9,6,8.2,1.1,0.3,3.4,1.7,27.1,moranja01
331,Marcus Morris,PF,33,LAC,56,56,28.6,4.5,10.4,0.43,1.9,5.1,0.371,2.6,5.3,0.485,0.52,1.2,1.5,0.786,0.4,3.7,4.1,1.8,0.7,0.4,0.9,2.2,12,morrima03
332,Markieff Morris,PF,33,TOT,29,1,10.3,1.2,2.9,0.4,0.7,1.8,0.404,0.4,1.1,0.394,0.524,0.3,0.3,1,0.4,1.6,2,0.9,0.3,0.2,0.5,1.3,3.4,morrima02
332,Markieff Morris,PF,33,BRK,27,1,10.6,1.2,3,0.402,0.7,1.8,0.408,0.5,1.2,0.394,0.524,0.4,0.4,1,0.5,1.7,2.2,0.9,0.3,0.2,0.5,1.2,3.6,morrima02
332,Markieff Morris,PF,33,DAL,2,0,7,0.5,1.5,0.333,0.5,1.5,0.333,0,0,,0.5,0,0,,0,0,0,0.5,0.5,0,0.5,2.5,1.5,morrima02
333,Monte Morris,PG,27,WAS,51,51,28.1,4,8.2,0.483,1.4,3.3,0.406,2.6,4.9,0.536,0.565,1.1,1.3,0.806,0.4,3,3.4,5.3,0.7,0.2,1,1.4,10.4,morrimo01
334,Trey Murphy III,SF,22,NOP,60,46,29.1,4.4,9.2,0.472,2.2,5.6,0.386,2.2,3.7,0.603,0.589,1.8,2,0.908,0.8,2.8,3.6,1.3,1,0.5,0.8,2,12.7,murphtr02
335,Dejounte Murray,SG,26,ATL,57,57,36.4,8.4,18.1,0.466,2.1,5.6,0.363,6.4,12.4,0.512,0.522,2,2.4,0.837,0.7,4.7,5.5,6.1,1.5,0.3,2.2,1.4,20.8,murrade01
336,Jamal Murray,PG,25,DEN,49,49,32.6,7.3,16.1,0.456,2.5,6.4,0.388,4.9,9.8,0.5,0.532,3,3.6,0.83,0.8,3.3,4.1,6,1,0.2,2.1,1.4,20.1,murraja01
337,Keegan Murray,SF,22,SAC,59,57,29.8,4.3,9.7,0.448,2.5,6,0.414,1.8,3.7,0.505,0.577,0.9,1.1,0.8,1.1,3.5,4.6,1.2,0.8,0.5,0.8,1.9,12.1,murrake02
338,Mike Muscala,C,31,TOT,48,6,15,2.2,5,0.439,1.4,3.5,0.391,0.8,1.5,0.557,0.577,0.7,0.9,0.78,0.5,2.6,3.1,0.8,0.3,0.4,0.3,1.7,6.4,muscami01
338,Mike Muscala,C,31,OKC,43,5,14.5,2.1,4.7,0.438,1.3,3.3,0.394,0.8,1.4,0.541,0.576,0.7,0.9,0.795,0.5,2.6,3.1,0.9,0.3,0.4,0.3,1.6,6.2,muscami01
338,Mike Muscala,C,31,BOS,5,1,19.8,3.2,7.2,0.444,2,5.4,0.37,1.2,1.8,0.667,0.583,0.2,0.4,0.5,0.2,3,3.2,0.4,0.2,0.4,0.4,2,8.6,muscami01
339,Svi Mykhailiuk,SF,25,TOT,15,0,4.7,0.7,1.7,0.44,0.5,1.1,0.5,0.2,0.6,0.333,0.6,0.2,0.4,0.5,0.1,0.5,0.6,0.1,0.1,0,0.3,0.2,2.2,mykhasv01
339,Svi Mykhailiuk,SF,25,NYK,13,0,3.1,0.5,0.9,0.5,0.5,0.8,0.6,0,0.2,0,0.75,0.2,0.4,0.6,0,0.5,0.5,0.1,0.1,0,0.2,0.1,1.6,mykhasv01
339,Svi Mykhailiuk,SF,25,CHO,2,0,15.5,2.5,6.5,0.385,1,3,0.333,1.5,3.5,0.429,0.462,0,0.5,0,0.5,0.5,1,0.5,0,0,1,1,6,mykhasv01
